n = 5000
k,1st runtime (s), 2nd runtime (s), 3rd runtime (s), avg runtime (s)
1,0.0904064,0.097992,0.131161,0.10652
2,0.0669897,0.0620994,0.065039,0.0647094
3,0.0551434,0.069554,0.0574929,0.0607301
4,0.0667361,0.0723022,0.0750059,0.0713481
5,0.080324,0.0587847,0.0567737,0.0652941
6,0.0634089,0.0484057,0.094957,0.0689239
7,0.0754473,0.0555625,0.0501232,0.0603777
8,0.074513,0.094024,0.0998578,0.0894649
9,0.106868,0.118679,0.0615649,0.0957041
10,0.0639198,0.0617832,0.0564691,0.060724
11,0.0601589,0.0532813,0.050265,0.0545684
12,0.0805534,0.0722703,0.0660538,0.0729592
13,0.0803938,0.074427,0.0505001,0.0684403
14,0.0506291,0.0498662,0.0521739,0.0508897
15,0.0548356,0.051519,0.0492837,0.0518794
16,0.0532453,0.082728,0.0930996,0.0763576
17,0.202146,0.0907343,0.155442,0.149441
18,0.521729,0.134875,0.16586,0.274154
19,0.148846,0.120679,0.102559,0.124028
20,0.0696944,0.0960673,0.103941,0.089901

Best k: 14
k=1 Ordered List time in seconds: 0.0977343
k=n Ordered List time in seconds: 0.0090895
k=1 Unordered List time in seconds: 0.121784
k=n Ordered List time in seconds: 8.84156
